GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
assignment,org.sample.assignment.errorcodes,ApplicationErrorCode,77,0,0,0,14,0,3,0,3,0
assignment,org.sample.assignment,AssignmentApplication,8,0,0,0,3,0,2,0,2,0
assignment,org.sample.assignment.exception.handler,GlobalExceptionHandler,521,0,4,0,96,0,22,0,20,0
assignment,org.sample.assignment.utils,UUID5,119,0,8,0,24,0,9,0,5,0
assignment,org.sample.assignment.utils,UUIDGenerator,60,0,0,0,17,0,6,0,6,0
assignment,org.sample.assignment.utils,StringUtils,116,0,36,0,18,0,29,0,11,0
assignment,org.sample.assignment.dao,EmployeeDAOImpl,20,0,0,0,5,0,3,0,3,0
assignment,org.sample.assignment.constants,ValidationMessages,3,0,0,0,1,0,1,0,1,0
assignment,org.sample.assignment.constants,EntityType,49,22,4,0,10,6,8,2,6,2
assignment,org.sample.assignment.representations,EmployeeRepresentation,260,36,54,0,5,5,35,10,8,10
assignment,org.sample.assignment.controller,EmployeeController,0,25,0,0,0,5,0,3,0,3
assignment,org.sample.assignment.controller,AuthController,9,0,0,0,3,0,3,0,3,0
assignment,org.sample.assignment.exception,BadFilterRequestException,11,0,0,0,4,0,2,0,2,0
assignment,org.sample.assignment.exception,ApplicationException,59,0,0,0,23,0,7,0,7,0
assignment,org.sample.assignment.exception,AuthenticationException,11,0,0,0,4,0,2,0,2,0
assignment,org.sample.assignment.exception,RepresentationException,11,0,0,0,4,0,2,0,2,0
assignment,org.sample.assignment.exception,ResourceNotFoundException,11,0,0,0,4,0,2,0,2,0
assignment,org.sample.assignment.exception,FieldValidation,23,0,0,0,7,0,5,0,5,0
assignment,org.sample.assignment.exception,AuthorizationException,11,0,0,0,4,0,2,0,2,0
assignment,org.sample.assignment.exception,ResourceConflictException,11,0,0,0,4,0,2,0,2,0
assignment,org.sample.assignment.service,EmployeeServiceImpl,22,0,0,0,5,0,2,0,2,0
assignment,org.sample.assignment.configration,SecurityConfig,71,0,0,0,17,0,5,0,5,0
assignment,org.sample.assignment.configration,SchemaConfig,47,0,4,0,11,0,5,0,3,0
assignment,org.sample.assignment.validators,StringValueValidator,98,0,12,0,26,0,9,0,3,0
assignment,org.sample.assignment.converter,EmployeeRepresentationConverterImpl,67,0,4,0,20,0,5,0,3,0
assignment,org.sample.assignment.converter,EmployeeRepresentationConverter,5,0,0,0,1,0,1,0,1,0
assignment,org.sample.assignment.entity,Employee,45,0,0,0,8,0,13,0,13,0
assignment,org.sample.assignment.model,ResponseBody,3,15,0,0,1,6,1,3,1,3
assignment,org.sample.assignment.model,Pageable,46,0,0,0,7,0,10,0,10,0
assignment,org.sample.assignment.model,ErrorResponseBody,33,0,0,0,9,0,6,0,6,0
